response_id,course,class_number,student_id,question_number,question_response,clean,anger,disgust,fear,joy,neutral,sadness,surprise,dominant_emotion,theme
1479,COM214,13,6583,4,"Had a long weekend, got a lot on my plate with midterms so I am not very prepared for this class.","Had a long weekend, got a lot on my plate with midterms so I am not very prepared for this class.",0.0085,0.0085,0.3628,0.0143,0.497,0.0849,0.024,neutral,"Workload, Stress and Well-being"
1480,COM214,13,6716,4,None right now.,,,,,,,,,,NA
1481,COM214,13,6712,4,,,,,,,,,,,NA
1548,COM214,14,6707,4,Can you go over the thing you did at the end of class last time where you explained how you saved the changes you made in the Ruby code to your file?,Can you go over the thing you did at the end of class last time where you explained how you saved the changes you made in the Ruby code to your file?,0.0116,0.0109,0.0032,0.0037,0.9049,0.0041,0.0616,neutral,Confidence and Support Needs
1549,COM214,14,6716,4,,,,,,,,,,,NA
1550,COM214,14,6504,4,,,,,,,,,,,NA
1551,COM214,14,6289,4,no,,,,,,,,,,NA
1552,COM214,14,6709,4,no,,,,,,,,,,NA
1553,COM214,14,6575,4,i am not feeling great today so i will need to rest a little,,,,,,,,,,NA
1554,COM214,14,4806,4,5,,,,,,,,,,NA
1555,COM214,14,6714,4,3,,,,,,,,,,NA
1556,COM214,14,6598,4,,,,,,,,,,,NA
1557,COM214,14,6712,4,less work,less work,0.0217,0.0195,0.0069,0.0093,0.4136,0.4777,0.0513,sadness,"Workload, Stress and Well-being"
1558,COM214,14,6583,4,Midterms have been ruff and I have fallen behind on reading,Midterms have been ruff and I have fallen behind on reading,0.3839,0.047,0.0065,0.0032,0.4254,0.123,0.0111,neutral,"Workload, Stress and Well-being"
1633,COM214,15,6598,4,,,,,,,,,,,NA
1634,COM214,15,6716,4,,,,,,,,,,,NA
1635,COM214,15,4806,4,6,,,,,,,,,,NA
1636,COM214,15,6712,4,3,,,,,,,,,,NA
1637,COM214,15,6703,4,none,,,,,,,,,,NA
1638,COM214,15,6406,4,nothing today,,,,,,,,,,NA
1639,COM214,15,6575,4,I think that we should do more hands on activities during class like writing ruby on rails together,I think that we should do more hands on activities during class like writing ruby on rails together,0.0076,0.0112,0.0047,0.0072,0.9554,0.0067,0.0072,neutral,"Pace, Content Coverage and In-Class Practice"
1640,COM214,15,6289,4,no,,,,,,,,,,NA
1713,COM214,16,6716,4,,,,,,,,,,,NA
1714,COM214,16,6703,4,none,,,,,,,,,,NA
1715,COM214,16,6709,4,na,,,,,,,,,,NA
1716,COM214,16,6289,4,no,,,,,,,,,,NA
1717,COM214,16,6504,4,,,,,,,,,,,NA
1718,COM214,16,6707,4,,,,,,,,,,,NA
1719,COM214,16,4806,4,5,,,,,,,,,,NA
1720,COM214,16,6406,4,nothing today,,,,,,,,,,NA
1721,COM214,16,6598,4,no,,,,,,,,,,NA
1722,COM214,16,6575,4,excited to be here in class,,,,,,,,,,NA
1723,COM214,16,6714,4,I feel ok at where I am at right now,,,,,,,,,,NA
1784,COM214,17,6504,4,,,,,,,,,,,NA
1785,COM214,17,6707,4,,,,,,,,,,,NA
1786,COM214,17,6575,4,i am excited to be here today,,,,,,,,,,NA
1787,COM214,17,6598,4,,,,,,,,,,,NA
1788,COM214,17,6716,4,,,,,,,,,,,NA
1855,COM214,18,6575,4,very happy to be here,,,,,,,,,,NA
1856,COM214,18,6707,4,,,,,,,,,,,NA
1857,COM214,18,6598,4,I love you professor,,,,,,,,,,NA
1858,COM214,18,6504,4,,,,,,,,,,,NA
1910,COM214,19,6707,4,,,,,,,,,,,NA
1911,COM214,19,6598,4,,,,,,,,,,,NA
1912,COM214,19,6504,4,,,,,,,,,,,NA
1913,COM214,19,6714,4,3,,,,,,,,,,NA
1974,COM214,20,6575,4,"glad to be here in class today, hoping that my toy app can work",,,,,,,,,,NA
1975,COM214,20,6707,4,,,,,,,,,,,NA
1976,COM214,20,6598,4,no,,,,,,,,,,NA
2028,COM214,21,6714,4,.,,,,,,,,,,NA
2029,COM214,21,6707,4,,,,,,,,,,,NA
2030,COM214,21,4806,4,this is garzain pls save my answersð­ð­ð­ð­,,,,,,,,,,NA
2031,COM214,21,6598,4,,,,,,,,,,,NA
2086,COM214,22,6406,4,"I am generally feeling I don't understand a lot of the components of ruby on rails, coming the project time. Furthermore, I don't know what questions to ask if I were to come to office hours","I am generally feeling I don't understand a lot of the components of ruby on rails, coming the project time. Furthermore, I don't know what questions to ask if I were to come to office hours",0.0207,0.0597,0.1418,0.0025,0.4879,0.1155,0.1719,neutral,Confidence and Support Needs
2087,COM214,22,6707,4,,,,,,,,,,,NA
2088,COM214,22,6575,4,it was not possible to install the gems i spent all of yesterday working on it,it was not possible to install the gems i spent all of yesterday working on it,0.0067,0.0046,0.008,0.003,0.0406,0.8921,0.045,sadness,Technical Difficulties
2089,COM214,22,6714,4,3,,,,,,,,,,NA
2090,COM214,22,6504,4,,,,,,,,,,,NA
2091,COM214,22,6598,4,,,,,,,,,,,NA
2143,COM214,24,6707,4,,,,,,,,,,,NA
2144,COM214,24,6716,4,,,,,,,,,,,NA
2145,COM214,24,6598,4,,,,,,,,,,,NA
2146,COM214,24,6504,4,,,,,,,,,,,NA
2207,COM214,25,6598,4,,,,,,,,,,,NA
2208,COM214,25,6707,4,,,,,,,,,,,NA
2209,COM214,25,4806,4,no,,,,,,,,,,NA
2210,COM214,25,6715,4,no,,,,,,,,,,NA
